Produto,Guerra,Guerra Produto + Classificação,"Concat(Produto,Variedade,Classificação)"
Produto,Guerra,Guerra Produto + Classificação,Produto_Variedade_Classificação
VAGEM,463,463@874,VAGEM_MANTEIGA_3A
VAGEM,463,463@873,VAGEM_MANTEIGA_2A
VAGEM,463,463@872,VAGEM_MANTEIGA_1A
VAGEM,464,464@874,VAGEM_METRO_3A
VAGEM,464,464@873,VAGEM_METRO_2A
YACON,412,412@874,YACON_N/A_3A
YACON,412,412@873,YACON_N/A_2A
ACELGA,600,600@600,ACELGA_N/A_08_CABEÇAS
ACELGA,601,601@,ACELGA_CHINESA_N/A
AGRIÃO,602,602@631,AGRIÃO_COMUM_20_MAÇOS
AGRIÃO,603,603@603,AGRIÃO_HIDROPÔNICO_15_MAÇOS
ALECRIM,604,604@,ALECRIM_N/A_N/A
ALFACE,605,605@1013,ALFACE_AMERICANA_12_UNIDADES
ALFACE,606,606@1015,ALFACE_CRESPA_18_UNIDADES
ALFACE,607,607@957,ALFACE_CRESPA_HIDROPÔNICA_20_UNIDADES
ALFACE,608,608@1015,ALFACE_LISA_18_UNIDADES
ALFACE,608,608@1016,ALFACE_LISA_24_UNIDADES
ALFACE,609,609@957,ALFACE_LISA_HIDROPÔNICA_20_UNIDADES
ALFACE,610,610@1015,ALFACE_MIMOSA_18_UNIDADES
ALFACE,610,610@1016,ALFACE_MIMOSA_24_UNIDADES
ALFACE,611,611@957,ALFACE_MIMOSA_HIDROPÔNICA_20_UNIDADES
ALFACE,612,612@1016,ALFACE_ROMANA_24_UNIDADES
ALFAVACA,613,613@,ALFAVACA_N/A_N/A
ALHO-PORRO,614,614@1082,ALHO-PORRO_N/A_TIPO_A_4_MAÇOS
ALHO-PORRO,614,614@1083,ALHO-PORRO_N/A_TIPO_B_4_MAÇOS
ALMEIRÃO,615,615@1013,ALMEIRÃO_COMUM_12_UNIDADES
ALMEIRÃO,671,671@,ALMEIRÃO_HIDROPÔNICO_N/A
ALMEIRÃO,616,616@1013,ALMEIRÃO_PÃO_DE_AÇÚCAR_12_UNIDADES
ASPARGO,618,618@,ASPARGO_N/A_N/A
BETERRABA COM FOLHAS,619,619@619,BETERRABA_COM_FOLHAS_N/A_08_MAÇOS
BRÓCOLOS,621,621@600,BRÓCOLOS_NINJA_08_CABEÇAS
BRÓCOLOS,622,622@616,BRÓCOLOS_RAMOSO_12_MAÇOS
BROTO DE ALFAFA,623,623@,BROTO_DE_ALFAFA_N/A_N/A
CAPIM-CIDREIRA,667,667@,CAPIM-CIDREIRA_N/A_N/A
CATALONHA,624,624@616,CATALONHA_N/A_12_MAÇOS
CEBOLETE,625,625@,CEBOLETE_N/A_N/A
CEBOLINHA,626,626@1096,CEBOLINHA_N/A_TIPO_A_10_MAÇOS
CEBOLINHA,626,626@1097,CEBOLINHA_N/A_TIPO_B_10_MAÇOS
CHICÓRIA,629,629@1015,CHICÓRIA_N/A_18_UNIDADES
COENTRO,630,630@1086,COENTRO_N/A_TIPO_A_20_MAÇOS
COENTRO,630,630@1087,COENTRO_N/A_TIPO_B_20_MAÇOS
COGUMELO,423,423@,COGUMELO_ERYNGUI_N/A
COGUMELO,424,424@,COGUMELO_HIRATAKE_N/A
COGUMELO,427,427@,COGUMELO_PARIS_N/A
COGUMELO,428,428@,COGUMELO_PORTOBELO_N/A
COGUMELO,429,429@,COGUMELO_SHIMEJI_N/A
COGUMELO,430,430@,COGUMELO_SHITAKE_N/A
COUVE,632,632@923,COUVE_MANTEIGA_A_(24_MÇS)
COUVE,632,632@926,COUVE_MANTEIGA_B_(24_MÇS)
COUVE-DE-BRUXELAS,631,631@,COUVE-DE-BRUXELAS_N/A_N/A
COUVE-FLOR,633,633@600,COUVE-FLOR_N/A_08_CABEÇAS
COUVE-FLOR,633,633@897,COUVE-FLOR_N/A_12_CABEÇAS
ENDÍVIA,634,634@,ENDÍVIA_N/A_N/A
ENDRO,635,635@,ENDRO_N/A_N/A
ERVA-DOCE,637,637@1090,ERVA-DOCE_N/A_TIPO_A_12_CABEÇAS
ERVA-DOCE,637,637@1091,ERVA-DOCE_N/A_TIPO_B_12_CABEÇAS
ESCAROLA,636,636@1015,ESCAROLA_COMUM_18_UNIDADES
ESCAROLA,636,636@1016,ESCAROLA_COMUM_24_UNIDADES
ESPINAFRE,638,638@1013,ESPINAFRE_N/A_12_UNIDADES
ESPINAFRE,638,638@638,ESPINAFRE_N/A_15_UNIDADES
ESPINAFRE,620,620@,ESPINAFRE_HIDROPÔNICO_N/A
ESTRAGÃO,639,639@,ESTRAGÃO_N/A_N/A
GENGIBRE COM FOLHAS,641,641@662,GENGIBRE_COM_FOLHAS_N/A_06_MAÇOS
GOBÔ,642,642@,GOBÔ_N/A_N/A
HORTELÃ,644,644@1031,HORTELÃ_N/A_MAÇO_A
LOURO,645,645@,LOURO_N/A_N/A
MANJERICÃO,646,646@,MANJERICÃO_N/A_N/A
MANJERONA,647,647@,MANJERONA_N/A_N/A
MILHO VERDE,648,648@193,MILHO_VERDE_N/A_A
MILHO VERDE,648,648@199,MILHO_VERDE_N/A_B
MILHO VERDE,648,648@1098,MILHO_VERDE_N/A_BANDEJA
MOSTARDA,650,650@616,MOSTARDA_COMUM_12_MAÇOS
MOSTARDA,670,670@1015,MOSTARDA_HIDROPÔNICA_18_UNIDADES
MOYASHI,651,651@,MOYASHI_N/A_N/A
NABO,652,652@993,NABO_N/A_TIPO_4_(MÇS_COM_6)
NABO,652,652@997,NABO_N/A_TIPO_6_(MÇS_COM_6)
ORÉGANO,653,653@,ORÉGANO_N/A_N/A
PALMITO,655,655@,PALMITO_N/A_N/A
RABANETE,656,656@1086,RABANETE_N/A_TIPO_A_20_MAÇOS
RABANETE,656,656@1093,RABANETE_N/A_TIPO_B_24_MAÇOS
RADICCHIO,657,657@,RADICCHIO_N/A_N/A
REPOLHO,659,659@1268,REPOLHO_LISO_12/14_CABEÇAS
REPOLHO,658,658@1268,REPOLHO_ROXO_12/14_CABEÇAS
RÚCULA,661,661@,RÚCULA_HIDROPÔNICA_N/A
SALSA,662,662@662,SALSA_N/A_06_MAÇOS
